ID,rank,Python,Java,discipline,years of experience,influencial factor,sex,salary
abx001,AssistantProfessor,1,1,Decision Support,7,49,Female,139096
abx002,AssistantProfessor,1,1,Information Systems,17,6,Female,73692
abx003,AssistantProfessor,1,1,Information Systems,4,20,Female,102613
abx004,AssistantProfessor,1,1,Information Systems,28,31,Female,110512
abx005,AssistantProfessor,1,1,Decision Support,8,18,Female,121960
abx006,AssistantProfessor,1,1,Information Systems,12,20,Female,96032
abx007,Programmer,1,1,Information Systems,24,17,Female,126512
abx008,AssistantProfessor,1,1,Information Systems,18,18,Female,104000
abx009,AssistantProfessor,1,1,Information Systems,19,19,Female,72500
abx010,AssistantProfessor,1,1,Information Systems,17,51,Female,61884
abx011,AssistantProfessor,1,1,Decision Support,28,33,Female,71500
abx012,AssistantProfessor,1,1,Decision Support,23,23,Female,76500
abx013,AsstAssistantProfessor,1,1,Decision Support,1,0,Male,71500
abx014,AssistantProfessor,1,1,Decision Support,35,33,Male,143651
abx015,AssistantProfessor,1,1,Decision Support,25,19,Male,185960
abx016,AssistantProfessor,1,,Decision Support,17,3,Male,92000
abx017,AsstAssistantProfessor,1,,Decision Support,8,3,Male,109515
abx018,AsstAssistantProfessor,1,,Decision Support,4,0,Male,185960
abx019,AssistantProfessor,1,,Information Systems,19,7,Male,92000
abx020,AssistantProfessor,1,,Information Systems,29,27,Male,109515
abx021,AsstAssistantProfessor,1,,Decision Support,4,4,Male,92000
abx022,AssistantProfessor,1,,Information Systems,33,30,Male,109515
abx023,AsstAssistantProfessor,1,,Information Systems,4,2,Male,130205
abx024,AsstAssistantProfessor,1,,Information Systems,2,0,Male,103800
abx025,AssistantProfessor,1,,Information Systems,30,23,Male,121400
abx026,AssistantProfessor,1,,Decision Support,35,31,Male,80285
abx027,AssistantProfessor,1,,Information Systems,38,19,Male,126300
abx028,AssistantProfessor,1,,Information Systems,45,43,Male,94350
abx029,AsstAssistantProfessor,1,,Decision Support,7,2,Male,57800
abx030,AssistantProfessor,1,,Decision Support,21,20,Male,128250
abx031,Programmer,,1,Decision Support,9,7,Male,134778
abx032,AssistantProfessor,,1,Decision Support,22,21,Male,88000
abx033,AssistantProfessor,,1,Information Systems,27,19,Male,162200
abx034,AssistantProfessor,,1,Decision Support,18,18,Male,153750
abx035,Programmer,,1,Decision Support,12,8,Male,150480
abx036,AssistantProfessor,,1,Decision Support,28,23,Male,75044
abx037,AssistantProfessor,,1,Decision Support,45,45,Male,92000
abx038,AssistantProfessor,,1,Information Systems,20,8,Male,107300
abx039,AsstAssistantProfessor,,1,Decision Support,4,3,Male,150500
abx040,AssistantProfessor,,1,Decision Support,18,18,Female,129000
abx041,AssistantProfessor,,1,Information Systems,39,36,Female,137000
abx042,Programmer,,1,Information Systems,13,8,Female,74830
abx043,AsstAssistantProfessor,,1,Decision Support,4,2,Female,80225
abx044,AsstAssistantProfessor,,1,Decision Support,5,0,Female,77000
abx045,AssistantProfessor,,1,Decision Support,56,19,Female,151768
abx046,AssistantProfessor,1,,Decision Support,12,25,Female,140096
abx047,AsstAssistantProfessor,1,,Decision Support,23,3,Female,74692
abx048,Programmer,1,,Decision Support,40,11,Female,103613
abx049,AssistantProfessor,1,,Decision Support,20,17,Female,111512
abx050,AssistantProfessor,1,,Decision Support,20,18,Female,122960
abx051,AsstAssistantProfessor,1,,Decision Support,20,5,Female,97032
abx052,AssistantProfessor,1,,Decision Support,18,14,Female,127512
abx053,AssistantProfessor,1,,Information Systems,29,0,Female,105000
abx054,AsstAssistantProfessor,1,,Information Systems,51,3,Female,73500
abx055,Programmer,1,,Information Systems,39,22,Female,62884
abx056,AsstAssistantProfessor,1,,Information Systems,23,0,Female,72500
abx057,Programmer,1,,Information Systems,1,8,Female,77500
abx058,AsstAssistantProfessor,1,,Information Systems,35,1,Female,72500
abx059,AssistantProfessor,1,,Decision Support,25,26,Female,144651
abx060,Programmer,1,,Decision Support,17,10,Female,103994
abx061,AsstAssistantProfessor,,,Decision Support,8,3,Female,92000
abx062,Programmer,,,Decision Support,4,10,Female,103750
abx063,Programmer,,,Decision Support,19,7,Female,109650
abx064,AssistantProfessor,,,Information Systems,29,27,Female,91000
abx065,Programmer,,,Information Systems,4,24,Female,73300
abx066,AssistantProfessor,,,Information Systems,33,19,Female,117555
abx067,AsstAssistantProfessor,,,Information Systems,7,6,Female,63100
abx068,AssistantProfessor,,,Information Systems,17,11,Female,90450
abx069,AsstAssistantProfessor,,,Information Systems,4,2,Female,77500
abx070,AssistantProfessor,,,Information Systems,28,7,Female,116450
